dataset,run,method,auc,file,n_points
38_thyroid,t100,adjusted,0.9229394353369763,csv/adjusted/38_thyroid_t100.csv,708
38_thyroid,t100,mad,0.9721539162112933,csv/mad/38_thyroid_t100.csv,764
38_thyroid,t100,zscore_more_trees,0.9934881602914389,csv/zscore_more_trees/38_thyroid_t100.csv,766
39_vertebral,t100,adjusted,0.42506459948320413,csv/adjusted/39_vertebral_t100.csv,62
39_vertebral,t100,mad,0.5329457364341086,csv/mad/39_vertebral_t100.csv,61
39_vertebral,t100,zscore_more_trees,0.43152454780361754,csv/zscore_more_trees/39_vertebral_t100.csv,63
40_vowels,t100,adjusted,0.8752224199288257,csv/adjusted/40_vowels_t100.csv,313
40_vowels,t100,mad,0.9562944839857651,csv/mad/40_vowels_t100.csv,311
40_vowels,t100,zscore_more_trees,0.969417259786477,csv/zscore_more_trees/40_vowels_t100.csv,313
41_Waveform,t100,adjusted,0.8133547008547009,csv/adjusted/41_Waveform_t100.csv,712
41_Waveform,t100,mad,0.5951092117758785,csv/mad/41_Waveform_t100.csv,715
41_Waveform,t100,zscore_more_trees,0.6488485280151948,csv/zscore_more_trees/41_Waveform_t100.csv,707
42_WBC,t100,adjusted,0.9783783783783784,csv/adjusted/42_WBC_t100.csv,35
42_WBC,t100,mad,1.0,csv/mad/42_WBC_t100.csv,22
42_WBC,t100,zscore_more_trees,0.9513513513513514,csv/zscore_more_trees/42_WBC_t100.csv,44
43_WDBC,t100,adjusted,0.9784615384615385,csv/adjusted/43_WDBC_t100.csv,72
43_WDBC,t100,mad,0.6523076923076923,csv/mad/43_WDBC_t100.csv,72
43_WDBC,t100,zscore_more_trees,0.8307692307692307,csv/zscore_more_trees/43_WDBC_t100.csv,72
44_Wilt,t100,adjusted,0.7019675014437969,csv/adjusted/44_Wilt_t100.csv,929
44_Wilt,t100,mad,0.764182023415761,csv/mad/44_Wilt_t100.csv,1073
44_Wilt,t100,zscore_more_trees,0.676241665354124,csv/zscore_more_trees/44_Wilt_t100.csv,1039
45_wine,t100,adjusted,0.9375,csv/adjusted/45_wine_t100.csv,23
45_wine,t100,mad,0.7875,csv/mad/45_wine_t100.csv,23
45_wine,t100,zscore_more_trees,0.975,csv/zscore_more_trees/45_wine_t100.csv,23
46_WPBC,t100,adjusted,0.5752136752136753,csv/adjusted/46_WPBC_t100.csv,71
46_WPBC,t100,mad,0.5811965811965812,csv/mad/46_WPBC_t100.csv,71
46_WPBC,t100,zscore_more_trees,0.5692307692307692,csv/zscore_more_trees/46_WPBC_t100.csv,71
47_yeast,t100,adjusted,0.4030362020311769,csv/adjusted/47_yeast_t100.csv,520
47_yeast,t100,mad,0.43117992364223523,csv/mad/47_yeast_t100.csv,515
47_yeast,t100,zscore_more_trees,0.4549021383192237,csv/zscore_more_trees/47_yeast_t100.csv,523
4_breastw,t100,adjusted,0.9933989621489622,csv/adjusted/4_breastw_t100.csv,98
4_breastw,t100,mad,0.9669948107448108,csv/mad/4_breastw_t100.csv,54
4_breastw,t100,zscore_more_trees,0.9179639804639805,csv/zscore_more_trees/4_breastw_t100.csv,182
5_campaign,t100,adjusted,0.5877950778169082,csv/adjusted/5_campaign_t100.csv,9879
5_campaign,t100,mad,0.47975833321689565,csv/mad/5_campaign_t100.csv,9803
5_campaign,t100,zscore_more_trees,0.7403455158107839,csv/zscore_more_trees/5_campaign_t100.csv,9948
6_cardio,t100,adjusted,0.8037582903463523,csv/adjusted/6_cardio_t100.csv,452
6_cardio,t100,mad,0.7123925325472857,csv/mad/6_cardio_t100.csv,424
6_cardio,t100,zscore_more_trees,0.7930483910587081,csv/zscore_more_trees/6_cardio_t100.csv,464
7_Cardiotocography,t100,adjusted,0.6323581284365598,csv/adjusted/7_Cardiotocography_t100.csv,591
7_Cardiotocography,t100,mad,0.6946415603278349,csv/mad/7_Cardiotocography_t100.csv,153
7_Cardiotocography,t100,zscore_more_trees,0.5315592903828198,csv/zscore_more_trees/7_Cardiotocography_t100.csv,605
8_celeba,t100,adjusted,0.7061597927268737,csv/adjusted/8_celeba_t100.csv,31739
8_celeba,t100,mad,0.6983196276510453,csv/mad/8_celeba_t100.csv,31759
8_celeba,t100,zscore_more_trees,0.720467060789427,csv/zscore_more_trees/8_celeba_t100.csv,31756
