threshold,fpr,tpr
0.0,0.0,0.0
0.7335355455777777,0.001,0.0
0.7296402988279522,0.002,0.0
0.7219117495245595,0.003,0.0
0.7207595490991354,0.004,0.0
0.720120232551413,0.005,0.0
0.7196091876323114,0.006,0.0
0.7180782278732244,0.007,0.0
0.7169321459038033,0.008,0.0
0.7165505252123292,0.009,0.0
0.7161691076563305,0.01,0.0
0.7150260727201894,0.011,0.0
0.7135428542412955,0.012,0.0
0.7119868905981093,0.013,0.0
0.71160790225024,0.015,0.0
0.7112291156366577,0.016,0.0
0.7104721471828819,0.017,0.0
0.7097159843784071,0.018,0.0
0.7089606263657727,0.019,0.0
0.7085832488886888,0.021,0.0
0.7084575010409035,0.022,0.0
0.707829096458072,0.023,0.0
0.707452321290744,0.024,0.0
0.7070757466796341,0.025,0.0
0.706323198699104,0.026,0.0
0.7055714516631201,0.026,0.02040816326530612
0.7036955826135559,0.028,0.02040816326530612
0.7034832990109815,0.029,0.02040816326530612
0.7033210077024453,0.03,0.02040816326530612
0.7031088370977545,0.031,0.02040816326530612
0.7030714018710513,0.032,0.02040816326530612
0.7029466321763637,0.034,0.02040816326530612
0.7019866468830128,0.035,0.02040816326530612
0.7010777416087438,0.036,0.02040816326530612
0.7007045601660391,0.038,0.02040816326530612
0.7002445766179959,0.038,0.030612244897959183
0.7000830324721798,0.039,0.030612244897959183
0.6995862072747728,0.039,0.04081632653061224
0.6992138197710303,0.041,0.04081632653061224
0.6984696393200696,0.042,0.04081632653061224
0.6973548534530984,0.043,0.04081632653061224
0.6971073649861443,0.044,0.04081632653061224
0.6969836536918684,0.045,0.04081632653061224
0.6962418468295749,0.046,0.04081632653061224
0.6960318117928916,0.046,0.05102040816326531
0.695871239518216,0.046,0.061224489795918366
0.6952539989987332,0.047,0.07142857142857142
0.6949209167975067,0.047,0.08163265306122448
0.6947606008026924,0.049,0.09183673469387756
0.6945510126129848,0.05,0.09183673469387756
0.6943907819538626,0.051,0.09183673469387756
0.6932825061086436,0.051,0.10204081632653061
0.69270444307728,0.051,0.11224489795918367
0.6925446384157424,0.053,0.11224489795918367
0.6924831849013476,0.054,0.11224489795918367
0.6921759991166136,0.056,0.11224489795918367
0.6921145783137284,0.057,0.11224489795918367
0.6920900115186642,0.058,0.11224489795918367
0.6915620362898643,0.059,0.11224489795918367
0.6914393090904706,0.061,0.11224489795918367
0.6910712581546113,0.062,0.11224489795918367
0.6909854077963551,0.062,0.12244897959183673
0.6907576932177797,0.063,0.12244897959183673
0.6907034031310898,0.065,0.12244897959183673
0.6906421130002125,0.066,0.12244897959183673
0.6904950388747979,0.067,0.12244897959183673
0.6903725010287777,0.068,0.12244897959183673
0.6902499849287843,0.068,0.1326530612244898
0.6899682804039811,0.068,0.14285714285714285
0.6898082324883864,0.069,0.14285714285714285
0.6896377304841755,0.07,0.14285714285714285
0.6892339400755423,0.072,0.14285714285714285
0.6890871658244004,0.073,0.14285714285714285
0.6890260191116613,0.074,0.15306122448979592
0.6889281956569576,0.075,0.15306122448979592
0.6889212087988009,0.076,0.15306122448979592
0.6885003813130586,0.078,0.15306122448979592
0.6884392866691224,0.079,0.15306122448979592
0.6882560352630889,0.08,0.15306122448979592
0.6881338947590687,0.081,0.15306122448979592
0.6879263056454771,0.081,0.16326530612244897
0.6875601246701316,0.082,0.16326530612244897
0.6874015067861152,0.083,0.16326530612244897
0.6872420542700179,0.084,0.16326530612244897
0.6871575507223495,0.085,0.17346938775510204
0.6870356051595264,0.086,0.17346938775510204
0.6865106154920583,0.087,0.17346938775510204
0.6855739452993738,0.087,0.1836734693877551
0.6852698244557609,0.088,0.1836734693877551
0.6852090164779273,0.089,0.1836734693877551
0.6851482138959394,0.089,0.19387755102040816
0.6849658385202613,0.09,0.19387755102040816
0.684844281906927,0.091,0.19387755102040816
0.6847835116899592,0.092,0.19387755102040816
0.6846012333921112,0.093,0.19387755102040816
0.6841518210117267,0.094,0.19387755102040816
0.6838726052669394,0.095,0.19387755102040816
0.6833872840602345,0.097,0.19387755102040816
0.6831811268550477,0.098,0.19387755102040816
0.683144752628166,0.099,0.19387755102040816
0.6830235191915818,0.104,0.19387755102040816
0.6828174717232168,0.104,0.20408163265306123
0.6826599479538068,0.107,0.20408163265306123
0.6825751425152828,0.107,0.22448979591836735
0.6825145736522533,0.108,0.22448979591836735
0.6824540101638512,0.108,0.23469387755102042
0.6823328993090221,0.109,0.23469387755102042
0.6822118099469806,0.11,0.23469387755102042
0.6821270601797178,0.111,0.23469387755102042
