threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
-2.4296794212318606,0,0,157,88,0.0,0.0,0.0,0.0,0.0
-2.429679295288856,1,0,156,88,0.006369426751592357,0.0,1.0,0.006369426751592357,0.012658227848101266
-2.429679223684058,2,0,155,88,0.012738853503184714,0.0,1.0,0.012738853503184714,0.025157232704402517
-2.429679110164841,3,0,154,88,0.01910828025477707,0.0,1.0,0.01910828025477707,0.0375
-2.4296782275605575,4,0,153,88,0.025477707006369428,0.0,1.0,0.025477707006369428,0.04968944099378882
-2.4296773800793106,5,0,152,88,0.03184713375796178,0.0,1.0,0.03184713375796178,0.0617283950617284
-2.4296742697242477,6,0,151,88,0.03821656050955414,0.0,1.0,0.03821656050955414,0.07361963190184048
-2.429671740291998,7,0,150,88,0.044585987261146494,0.0,1.0,0.044585987261146494,0.08536585365853658
-2.4296560969904832,8,0,149,88,0.050955414012738856,0.0,1.0,0.050955414012738856,0.09696969696969697
-2.429643456651761,9,0,148,88,0.05732484076433121,0.0,1.0,0.05732484076433121,0.10843373493975904
-2.4296385266121274,10,0,147,88,0.06369426751592357,0.0,1.0,0.06369426751592357,0.11976047904191617
-2.4295517562271574,11,0,146,88,0.07006369426751592,0.0,1.0,0.07006369426751592,0.13095238095238096
-2.429471677673344,12,0,145,88,0.07643312101910828,0.0,1.0,0.07643312101910828,0.14201183431952663
-2.429468798081731,13,0,144,88,0.08280254777070063,0.0,1.0,0.08280254777070063,0.15294117647058822
-2.429423397789702,14,0,143,88,0.08917197452229299,0.0,1.0,0.08917197452229299,0.16374269005847952
-2.4294111950888384,15,0,142,88,0.09554140127388536,0.0,1.0,0.09554140127388536,0.1744186046511628
-2.4293835480825634,16,0,141,88,0.10191082802547771,0.0,1.0,0.10191082802547771,0.18497109826589597
-2.4293404572662713,17,0,140,88,0.10828025477707007,0.0,1.0,0.10828025477707007,0.19540229885057472
-2.429334049589154,18,0,139,88,0.11464968152866242,0.0,1.0,0.11464968152866242,0.2057142857142857
-2.4292718820926877,19,0,138,88,0.12101910828025478,0.0,1.0,0.12101910828025478,0.2159090909090909
-2.4292300355231777,20,0,137,88,0.12738853503184713,0.0,1.0,0.12738853503184713,0.22598870056497175
-2.429166182079615,21,0,136,88,0.1337579617834395,0.0,1.0,0.1337579617834395,0.23595505617977527
-2.4291003756394454,22,0,135,88,0.14012738853503184,0.0,1.0,0.14012738853503184,0.24581005586592178
-2.4289745949544868,23,0,134,88,0.1464968152866242,0.0,1.0,0.1464968152866242,0.25555555555555554
-2.4285506120065823,24,0,133,88,0.15286624203821655,0.0,1.0,0.15286624203821655,0.26519337016574585
-2.428357930639685,25,0,132,88,0.1592356687898089,0.0,1.0,0.1592356687898089,0.2747252747252747
-2.4282191577541377,26,0,131,88,0.16560509554140126,0.0,1.0,0.16560509554140126,0.28415300546448086
-2.42819281482751,27,0,130,88,0.17197452229299362,0.0,1.0,0.17197452229299362,0.2934782608695652
-2.4281813841083086,28,0,129,88,0.17834394904458598,0.0,1.0,0.17834394904458598,0.3027027027027027
-2.4281136079814956,29,0,128,88,0.18471337579617833,0.0,1.0,0.18471337579617833,0.3118279569892473
-2.427840287763563,30,0,127,88,0.1910828025477707,0.0,1.0,0.1910828025477707,0.3208556149732621
-2.4272058320885366,31,0,126,88,0.19745222929936307,0.0,1.0,0.19745222929936307,0.3297872340425532
-2.427065412835206,32,0,125,88,0.20382165605095542,0.0,1.0,0.20382165605095542,0.33862433862433866
-2.426836608424363,33,0,124,88,0.21019108280254778,0.0,1.0,0.21019108280254778,0.3473684210526316
-2.4268354862232453,34,0,123,88,0.21656050955414013,0.0,1.0,0.21656050955414013,0.356020942408377
-2.4265134696914696,35,0,122,88,0.2229299363057325,0.0,1.0,0.2229299363057325,0.36458333333333337
-2.425093284700834,36,0,121,88,0.22929936305732485,0.0,1.0,0.22929936305732485,0.3730569948186529
-2.42493070289281,37,0,120,88,0.2356687898089172,0.0,1.0,0.2356687898089172,0.3814432989690722
-2.4245638198868806,38,0,119,88,0.24203821656050956,0.0,1.0,0.24203821656050956,0.38974358974358975
-2.424005067287504,39,0,118,88,0.2484076433121019,0.0,1.0,0.2484076433121019,0.3979591836734694
-2.4229013345250765,40,0,117,88,0.25477707006369427,0.0,1.0,0.25477707006369427,0.40609137055837563
-2.4228043336469893,41,0,116,88,0.2611464968152866,0.0,1.0,0.2611464968152866,0.41414141414141414
-2.421307901618762,42,0,115,88,0.267515923566879,0.0,1.0,0.267515923566879,0.4221105527638191
-2.4210455013754477,43,0,114,88,0.27388535031847133,0.0,1.0,0.27388535031847133,0.43
-2.420637163081309,44,0,113,88,0.2802547770700637,0.0,1.0,0.2802547770700637,0.43781094527363185
-2.420436261746031,45,0,112,88,0.28662420382165604,0.0,1.0,0.28662420382165604,0.44554455445544555
-2.4203735734118195,46,0,111,88,0.2929936305732484,0.0,1.0,0.2929936305732484,0.45320197044334976
-2.420251655743205,47,0,110,88,0.29936305732484075,0.0,1.0,0.29936305732484075,0.4607843137254902
-2.4195328187434604,48,0,109,88,0.3057324840764331,0.0,1.0,0.3057324840764331,0.4682926829268293
-2.4193395181800694,49,0,108,88,0.31210191082802546,0.0,1.0,0.31210191082802546,0.47572815533980584
-2.419007576324215,50,0,107,88,0.3184713375796178,0.0,1.0,0.3184713375796178,0.4830917874396135
-2.418941062222109,51,0,106,88,0.3248407643312102,0.0,1.0,0.3248407643312102,0.49038461538461536
-2.4188827632838903,52,0,105,88,0.33121019108280253,0.0,1.0,0.33121019108280253,0.49760765550239233
-2.4186102737699926,53,0,104,88,0.3375796178343949,0.0,1.0,0.3375796178343949,0.5047619047619047
-2.4184321390977384,54,0,103,88,0.34394904458598724,0.0,1.0,0.34394904458598724,0.5118483412322274
-2.4177022118195928,55,0,102,88,0.3503184713375796,0.0,1.0,0.3503184713375796,0.5188679245283019
-2.4174887478487306,56,0,101,88,0.35668789808917195,0.0,1.0,0.35668789808917195,0.5258215962441315
-2.4133534843284883,57,0,100,88,0.3630573248407643,0.0,1.0,0.3630573248407643,0.5327102803738317
-2.4112209810657603,58,0,99,88,0.36942675159235666,0.0,1.0,0.36942675159235666,0.5395348837209303
-2.408722248569543,59,0,98,88,0.37579617834394907,0.0,1.0,0.37579617834394907,0.5462962962962963
-2.4081763948456403,60,0,97,88,0.3821656050955414,0.0,1.0,0.3821656050955414,0.5529953917050692
-2.4069142879721115,61,0,96,88,0.3885350318471338,0.0,1.0,0.3885350318471338,0.5596330275229358
-2.4062808741372024,62,0,95,88,0.39490445859872614,0.0,1.0,0.39490445859872614,0.5662100456621005
-2.4055646980492784,63,0,94,88,0.4012738853503185,0.0,1.0,0.4012738853503185,0.5727272727272728
-2.401992177534657,64,0,93,88,0.40764331210191085,0.0,1.0,0.40764331210191085,0.579185520361991
-2.4011847406817117,65,0,92,88,0.4140127388535032,0.0,1.0,0.4140127388535032,0.5855855855855856
-2.4010278837571155,66,0,91,88,0.42038216560509556,0.0,1.0,0.42038216560509556,0.5919282511210763
-2.398610112583014,67,0,90,88,0.4267515923566879,0.0,1.0,0.4267515923566879,0.5982142857142857
-2.3965823143844465,68,0,89,88,0.43312101910828027,0.0,1.0,0.43312101910828027,0.6044444444444445
-2.3933674146893344,69,0,88,88,0.4394904458598726,0.0,1.0,0.4394904458598726,0.6106194690265486
-2.3894561207273495,70,0,87,88,0.445859872611465,0.0,1.0,0.445859872611465,0.6167400881057269
-2.3891586532585545,71,0,86,88,0.45222929936305734,0.0,1.0,0.45222929936305734,0.6228070175438596
-2.388640537728199,72,0,85,88,0.4585987261146497,0.0,1.0,0.4585987261146497,0.62882096069869
-2.3879409511736727,73,0,84,88,0.46496815286624205,0.0,1.0,0.46496815286624205,0.6347826086956522
-2.3876402220586965,74,0,83,88,0.4713375796178344,0.0,1.0,0.4713375796178344,0.6406926406926408
-2.387095113087834,75,0,82,88,0.47770700636942676,0.0,1.0,0.47770700636942676,0.6465517241379309
-2.386763958844912,76,0,81,88,0.4840764331210191,0.0,1.0,0.4840764331210191,0.6523605150214593
-2.380314234328504,77,0,80,88,0.49044585987261147,0.0,1.0,0.49044585987261147,0.6581196581196581
-2.379741248196199,78,0,79,88,0.4968152866242038,0.0,1.0,0.4968152866242038,0.6638297872340426
-2.377977711508246,79,0,78,88,0.5031847133757962,0.0,1.0,0.5031847133757962,0.6694915254237288
-2.374746202950245,80,0,77,88,0.5095541401273885,0.0,1.0,0.5095541401273885,0.6751054852320676
-2.3746296178774537,81,0,76,88,0.5159235668789809,0.0,1.0,0.5159235668789809,0.6806722689075629
-2.37427323662833,82,0,75,88,0.5222929936305732,0.0,1.0,0.5222929936305732,0.6861924686192469
-2.374100804995429,83,0,74,88,0.5286624203821656,0.0,1.0,0.5286624203821656,0.6916666666666667
-2.3739202003118947,84,0,73,88,0.535031847133758,0.0,1.0,0.535031847133758,0.6970954356846474
-2.371133795331892,85,0,72,88,0.5414012738853503,0.0,1.0,0.5414012738853503,0.7024793388429752
-2.366000812920642,86,0,71,88,0.5477707006369427,0.0,1.0,0.5477707006369427,0.7078189300411523
-2.36589479053376,87,0,70,88,0.554140127388535,0.0,1.0,0.554140127388535,0.7131147540983606
-2.365190791947852,88,0,69,88,0.5605095541401274,0.0,1.0,0.5605095541401274,0.7183673469387756
-2.363786412659567,89,0,68,88,0.5668789808917197,0.0,1.0,0.5668789808917197,0.7235772357723577
-2.359169844866272,90,0,67,88,0.5732484076433121,0.0,1.0,0.5732484076433121,0.728744939271255
-2.359100141072626,91,0,66,88,0.5796178343949044,0.0,1.0,0.5796178343949044,0.7338709677419354
-2.3590681667555042,92,0,65,88,0.5859872611464968,0.0,1.0,0.5859872611464968,0.7389558232931728
-2.358853767815769,93,0,64,88,0.5923566878980892,0.0,1.0,0.5923566878980892,0.7439999999999999
-2.357756447696325,94,0,63,88,0.5987261146496815,0.0,1.0,0.5987261146496815,0.749003984063745
-2.3472811890106287,95,0,62,88,0.6050955414012739,0.0,1.0,0.6050955414012739,0.7539682539682538
-2.3470211598410025,96,0,61,88,0.6114649681528662,0.0,1.0,0.6114649681528662,0.7588932806324111
-2.337684336840485,97,0,60,88,0.6178343949044586,0.0,1.0,0.6178343949044586,0.7637795275590551
-2.332838355125745,98,0,59,88,0.6242038216560509,0.0,1.0,0.6242038216560509,0.7686274509803922
-2.3303751262940127,99,0,58,88,0.6305732484076433,0.0,1.0,0.6305732484076433,0.7734374999999999
-2.3288769242382763,100,0,57,88,0.6369426751592356,0.0,1.0,0.6369426751592356,0.7782101167315175
-2.3232246621452237,101,0,56,88,0.643312101910828,0.0,1.0,0.643312101910828,0.7829457364341085
-2.322295900341803,102,0,55,88,0.6496815286624203,0.0,1.0,0.6496815286624203,0.7876447876447876
-2.3044162697755306,103,0,54,88,0.6560509554140127,0.0,1.0,0.6560509554140127,0.7923076923076923
-2.3000462995303033,104,0,53,88,0.6624203821656051,0.0,1.0,0.6624203821656051,0.7969348659003832
-2.2999003932708106,105,0,52,88,0.6687898089171974,0.0,1.0,0.6687898089171974,0.8015267175572518
-2.2915237195793834,106,0,51,88,0.6751592356687898,0.0,1.0,0.6751592356687898,0.8060836501901141
-2.2863227407307263,107,0,50,88,0.6815286624203821,0.0,1.0,0.6815286624203821,0.8106060606060606
-2.285615984548408,108,0,49,88,0.6878980891719745,0.0,1.0,0.6878980891719745,0.8150943396226416
-2.2842369585360984,109,0,48,88,0.6942675159235668,0.0,1.0,0.6942675159235668,0.819548872180451
-2.2666321603171538,110,0,47,88,0.7006369426751592,0.0,1.0,0.7006369426751592,0.8239700374531835
-2.2538477953709326,111,0,46,88,0.7070063694267515,0.0,1.0,0.7070063694267515,0.8283582089552238
-2.2490775531991316,112,0,45,88,0.7133757961783439,0.0,1.0,0.7133757961783439,0.8327137546468402
-2.2426488576128025,113,0,44,88,0.7197452229299363,0.0,1.0,0.7197452229299363,0.8370370370370369
-2.2288450312208896,114,0,43,88,0.7261146496815286,0.0,1.0,0.7261146496815286,0.8413284132841329
-2.2279346846131403,115,0,42,88,0.732484076433121,0.0,1.0,0.732484076433121,0.8455882352941175
-2.223607663942302,116,0,41,88,0.7388535031847133,0.0,1.0,0.7388535031847133,0.8498168498168498
-2.2195893090363037,117,0,40,88,0.7452229299363057,0.0,1.0,0.7452229299363057,0.8540145985401459
-2.2080119229016026,118,0,39,88,0.7515923566878981,0.0,1.0,0.7515923566878981,0.8581818181818183
-2.199468853746291,119,0,38,88,0.7579617834394905,0.0,1.0,0.7579617834394905,0.8623188405797102
-2.1906719758613904,120,0,37,88,0.7643312101910829,0.0,1.0,0.7643312101910829,0.8664259927797834
-2.1832550387184275,121,0,36,88,0.7707006369426752,0.0,1.0,0.7707006369426752,0.8705035971223022
-2.183250842711924,122,0,35,88,0.7770700636942676,0.0,1.0,0.7770700636942676,0.8745519713261649
-2.1788480720301577,123,0,34,88,0.7834394904458599,0.0,1.0,0.7834394904458599,0.8785714285714286
-2.1598622854366667,124,0,33,88,0.7898089171974523,0.0,1.0,0.7898089171974523,0.8825622775800712
-2.1557689353939082,125,0,32,88,0.7961783439490446,0.0,1.0,0.7961783439490446,0.8865248226950355
-2.149578499716345,126,0,31,88,0.802547770700637,0.0,1.0,0.802547770700637,0.8904593639575972
-2.1450949943186086,127,0,30,88,0.8089171974522293,0.0,1.0,0.8089171974522293,0.8943661971830986
-2.142621499342307,128,0,29,88,0.8152866242038217,0.0,1.0,0.8152866242038217,0.8982456140350877
-2.1366859524229196,129,0,28,88,0.821656050955414,0.0,1.0,0.821656050955414,0.9020979020979021
-2.1315545184406473,129,1,28,87,0.821656050955414,0.011363636363636364,0.9923076923076923,0.821656050955414,0.8989547038327526
-2.1251348044663456,130,1,27,87,0.8280254777070064,0.011363636363636364,0.9923664122137404,0.8280254777070064,0.9027777777777779
-2.123533472726462,131,1,26,87,0.8343949044585988,0.011363636363636364,0.9924242424242424,0.8343949044585988,0.9065743944636678
-2.1103416963260955,132,1,25,87,0.8407643312101911,0.011363636363636364,0.9924812030075187,0.8407643312101911,0.9103448275862068
-2.044636631616375,133,1,24,87,0.8471337579617835,0.011363636363636364,0.9925373134328358,0.8471337579617835,0.9140893470790379
-2.029322025850361,134,1,23,87,0.8535031847133758,0.011363636363636364,0.9925925925925926,0.8535031847133758,0.9178082191780821
-2.010397126440932,135,1,22,87,0.8598726114649682,0.011363636363636364,0.9926470588235294,0.8598726114649682,0.9215017064846417
-1.9979387778033306,136,1,21,87,0.8662420382165605,0.011363636363636364,0.9927007299270073,0.8662420382165605,0.9251700680272109
