threshold,fpr,tpr
-0.34886588325295764,0.0,0.0
-0.27124389192716114,0.0,0.125
-0.05797360252071493,0.0,0.25
-0.01043363217996296,0.07692307692307693,0.25
0.010273625840018008,0.15384615384615385,0.25
0.027771464529270817,0.23076923076923078,0.25
0.10709550298374704,0.3076923076923077,0.25
0.14439348869442914,0.3076923076923077,0.375
0.15978249991962623,0.3076923076923077,0.5
0.17102248275539322,0.3076923076923077,0.625
0.17224797001369563,0.38461538461538464,0.625
0.19815320653129764,0.38461538461538464,0.75
0.22231743660283554,0.46153846153846156,0.75
0.2328563371179524,0.5384615384615384,0.75
0.23439570335888682,0.5384615384615384,0.875
0.24550959840212672,0.6153846153846154,0.875
0.2541793714464098,0.6923076923076923,0.875
0.25645581465959255,0.6923076923076923,1.0
0.28640695201997435,0.7692307692307693,1.0
0.28899206897325636,0.8461538461538461,1.0
0.3257812881477471,0.9230769230769231,1.0
