dataset,algo,auc,selected_by,threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
10_cover,elixir,0.5820134078882673,youden,0.4072439502740958,1116.0,27268.0,696.0,29392.0,0.6158940397350994,0.4812566184256971,0.0393179255918827,0.6158940397350994,0.073917075109286
10_cover_by_threshold,elixir,0.5820127212083386,youden,,,,,,,,,,
11_donors,elixir,0.9930527670575348,youden,0.435530488758994,24227.0,1778.0,0.0,114745.0,1.0,0.015258790110107,0.931628532974428,1.0,0.9646042363433668
11_donors_by_threshold,elixir,0.9930530506208464,youden,,,,,,,,,,
12_fault,elixir,0.727196887909421,youden,0.3583560045388889,401.0,140.0,42.0,113.0,0.9051918735891648,0.5533596837944664,0.7412199630314233,0.9051918735891648,0.8150406504065042
12_fault_by_threshold,elixir,0.7271478153802229,youden,,,,,,,,,,
13_fraud,elixir,0.9361484985720663,youden,0.5365033255310069,276.0,4018.0,47.0,52845.0,0.8544891640866873,0.0706610625538575,0.0642757335817419,0.8544891640866873,0.1195581546458739
13_fraud_by_threshold,elixir,0.9361508669825018,youden,,,,,,,,,,
14_glass,elixir,0.8841463414634146,youden,0.5905533871157125,4.0,8.0,0.0,33.0,1.0,0.1951219512195122,0.3333333333333333,1.0,0.5
14_glass_by_threshold,elixir,0.8841463414634146,youden,,,,,,,,,,
15_Hepatitis,elixir,0.7032967032967034,youden,0.6079132652217674,7.0,7.0,0.0,6.0,1.0,0.5384615384615384,0.5,1.0,0.6666666666666666
15_Hepatitis_by_threshold,elixir,0.7032967032967034,youden,,,,,,,,,,
16_http,elixir,0.9903994037604615,youden,0.5595823911654073,1458.0,1263.0,0.0,111794.0,1.0,0.0111713560416427,0.535832414553473,1.0,0.6977745872218234
16_http_by_threshold,elixir,0.990399415893652,youden,,,,,,,,,,
17_InternetAds,elixir,0.5829095071475956,youden,0.2687581807176467,63.0,13.0,178.0,306.0,0.2614107883817427,0.0407523510971786,0.8289473684210527,0.2614107883817427,0.3974763406940063
17_InternetAds_by_threshold,elixir,0.5826623655354518,youden,,,,,,,,,,
18_Ionosphere,elixir,0.9186991869918699,youden,0.547287863715817,76.0,11.0,6.0,34.0,0.926829268292683,0.2444444444444444,0.8735632183908046,0.926829268292683,0.8994082840236686
18_Ionosphere_by_threshold,elixir,0.9178861788617886,youden,,,,,,,,,,
19_landsat,elixir,0.5622308946357586,youden,0.3121219731249852,612.0,551.0,266.0,469.0,0.6970387243735763,0.5401960784313725,0.5262252794496991,0.6970387243735763,0.5997060264576188
19_landsat_by_threshold,elixir,0.562252668721247,youden,,,,,,,,,,
1_ALOI,elixir,0.5256793755767295,youden,0.2213302652450952,833.0,7494.0,161.0,2111.0,0.8380281690140845,0.7802186361270171,0.1000360273808094,0.8380281690140845,0.1787361871043879
1_ALOI_by_threshold,elixir,0.5256825178033322,youden,,,,,,,,,,
20_letter,elixir,0.845794871794872,youden,0.4670871506542608,47.0,42.0,18.0,258.0,0.7230769230769231,0.14,0.5280898876404494,0.7230769230769231,0.6103896103896104
20_letter_by_threshold,elixir,0.845923076923077,youden,,,,,,,,,,
21_Lymphography,elixir,0.9642857142857143,youden,0.6226727382823505,2.0,2.0,0.0,26.0,1.0,0.0714285714285714,0.5,1.0,0.6666666666666666
21_Lymphography_by_threshold,elixir,0.9642857142857143,youden,,,,,,,,,,
22_magic.gamma,elixir,0.768603655534439,youden,0.4701424454380066,2415.0,247.0,1998.0,2219.0,0.5472467709041469,0.100162206001622,0.9072126220886552,0.5472467709041469,0.6826855123674912
22_magic.gamma_by_threshold,elixir,0.7685989231476933,youden,,,,,,,,,,
23_mammography,elixir,0.8444610536522301,youden,0.3904787523926774,126.0,377.0,44.0,1807.0,0.7411764705882353,0.1726190476190476,0.2504970178926441,0.7411764705882353,0.3744427934621099
23_mammography_by_threshold,elixir,0.8444731738849386,youden,,,,,,,,,,
24_mnist,elixir,0.22023169543211035,youden,0.6285418747129957,461.0,1380.0,0.0,0.0,1.0,1.0,0.2504073872895165,1.0,0.4005212858384014
24_mnist_by_threshold,elixir,0.22020104372976196,youden,,,,,,,,,,
25_musk,elixir,1.0,youden,0.5224750448399302,63.0,0.0,0.0,593.0,1.0,0.0,1.0,1.0,1.0
25_musk_by_threshold,elixir,0.9998929307529645,youden,,,,,,,,,,
2_annthyroid,elixir,0.895288993188468,youden,0.4521304736956293,298.0,320.0,53.0,1013.0,0.8490028490028491,0.2400600150037509,0.4822006472491909,0.8490028490028491,0.6150670794633643
2_annthyroid_by_threshold,elixir,0.8952815126858638,youden,,,,,,,,,,
4_breastw,elixir,0.8856351981351982,youden,0.4723500342964968,156.0,22.0,0.0,66.0,1.0,0.25,0.8764044943820225,1.0,0.934131736526946
4_breastw_by_threshold,elixir,0.8858537296037297,youden,,,,,,,,,,
5_campaign,elixir,0.7480424822068928,youden,0.3117862033095392,1856.0,1845.0,1205.0,5464.0,0.6063377981051944,0.2524285127924476,0.5014860848419346,0.6063377981051944,0.548950014788524
5_campaign_by_threshold,elixir,0.7480414765236202,youden,,,,,,,,,,
6_cardio,elixir,0.7181137527912782,youden,0.4368265910272165,70.0,52.0,45.0,279.0,0.6086956521739131,0.1570996978851963,0.5737704918032787,0.6086956521739131,0.5907172995780591
6_cardio_by_threshold,elixir,0.7180612110862998,youden,,,,,,,,,,
7_Cardiotocography,elixir,0.6057571964956195,youden,0.4319967814755062,121.0,55.0,185.0,274.0,0.3954248366013072,0.1671732522796352,0.6875,0.3954248366013072,0.5020746887966805
7_Cardiotocography_by_threshold,elixir,0.6056628325088901,youden,,,,,,,,,,
8_celeba,elixir,0.7223891062862915,youden,0.2925147778003392,2168.0,15065.0,832.0,24545.0,0.7226666666666667,0.3803332491795001,0.1258051412986711,0.7226666666666667,0.2143033657885632
8_celeba_by_threshold,elixir,0.7223891567785913,youden,,,,,,,,,,
