dataset,algo,auc,selected_by,threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
10_cover,elixir,0.9975141003253555,youden,-1.2355064514744554,1767.0,892.0,46.0,55768.0,0.9746276889134032,0.015743028591599,0.6645355396765701,0.9746276889134032,0.7902504472271914
10_cover_by_fpr,elixir,0.9975141003253555,youden,,,,,,,,,,
10_cover_by_threshold,elixir,0.9975141003253555,youden,,,,,,,,,,
11_donors,elixir,0.988140838517128,youden,-9.620324732012309,24228.0,1919.0,0.0,114604.0,1.0,0.0164688516430232,0.9266072589589628,1.0,0.9619057071960296
11_donors_by_fpr,elixir,0.988140838517128,youden,,,,,,,,,,
11_donors_by_threshold,elixir,0.988140838517128,youden,,,,,,,,,,
12_fault,elixir,0.6429423494640887,youden,-1.0966525939954144,252.0,81.0,192.0,172.0,0.5675675675675675,0.3201581027667984,0.7567567567567568,0.5675675675675675,0.6486486486486487
12_fault_by_fpr,elixir,0.6429423494640887,youden,,,,,,,,,,
12_fault_by_threshold,elixir,0.6429423494640887,youden,,,,,,,,,,
13_fraud,elixir,0.8641721829573918,youden,-1.2058629259233082,295.0,15360.0,29.0,41503.0,0.910493827160494,0.2701229270351546,0.0188438198658575,0.910493827160494,0.0369234620439326
13_fraud_by_fpr,elixir,0.8641721829573918,youden,,,,,,,,,,
13_fraud_by_threshold,elixir,0.8641721829573918,youden,,,,,,,,,,
14_glass,elixir,0.8292682926829269,youden,-1.3690796904576463,5.0,15.0,0.0,26.0,1.0,0.3658536585365853,0.25,1.0,0.4
14_glass_by_fpr,elixir,0.8292682926829269,youden,,,,,,,,,,
14_glass_by_threshold,elixir,0.8292682926829269,youden,,,,,,,,,,
15_Hepatitis,elixir,0.48557692307692313,youden,-0.986971148466075,8.0,10.0,0.0,3.0,1.0,0.7692307692307693,0.4444444444444444,1.0,0.6153846153846153
15_Hepatitis_by_fpr,elixir,0.48557692307692313,youden,,,,,,,,,,
15_Hepatitis_by_threshold,elixir,0.48557692307692313,youden,,,,,,,,,,
16_http,elixir,0.968997602627407,youden,-2.561252474119521,1456.0,3943.0,3.0,109114.0,0.997943797121316,0.0348762128837666,0.2696795702907946,0.997943797121316,0.4246135899679207
16_http_by_fpr,elixir,0.968997602627407,youden,,,,,,,,,,
16_http_by_threshold,elixir,0.968997602627407,youden,,,,,,,,,,
17_InternetAds,elixir,0.7832910179020182,youden,-1.8984528528189737,151.0,39.0,91.0,280.0,0.6239669421487604,0.122257053291536,0.7947368421052632,0.6239669421487604,0.6990740740740741
17_InternetAds_by_fpr,elixir,0.7832910179020182,youden,,,,,,,,,,
17_InternetAds_by_threshold,elixir,0.7832910179020182,youden,,,,,,,,,,
18_Ionosphere,elixir,0.9528781793842035,youden,-1.4760663745138232,76.0,5.0,7.0,40.0,0.9156626506024096,0.1111111111111111,0.9382716049382716,0.9156626506024096,0.9268292682926828
18_Ionosphere_by_fpr,elixir,0.9528781793842035,youden,,,,,,,,,,
18_Ionosphere_by_threshold,elixir,0.9528781793842035,youden,,,,,,,,,,
19_landsat,elixir,0.7439614981373665,youden,-1.3581678766393168,430.0,84.0,449.0,936.0,0.4891922639362912,0.0823529411764705,0.8365758754863813,0.4891922639362912,0.6173725771715721
19_landsat_by_fpr,elixir,0.7439614981373665,youden,,,,,,,,,,
19_landsat_by_threshold,elixir,0.7439614981373665,youden,,,,,,,,,,
1_ALOI,elixir,0.737704032918366,youden,-1.0876683323764906,723.0,3607.0,272.0,5998.0,0.7266331658291457,0.3755335762623633,0.1669745958429561,0.7266331658291457,0.2715492957746478
1_ALOI_by_fpr,elixir,0.737704032918366,youden,,,,,,,,,,
1_ALOI_by_threshold,elixir,0.737704032918366,youden,,,,,,,,,,
20_letter,elixir,0.8680303030303029,youden,-1.0549455844365894,55.0,78.0,11.0,222.0,0.8333333333333334,0.26,0.4135338345864661,0.8333333333333334,0.5527638190954773
20_letter_by_fpr,elixir,0.8680303030303029,youden,,,,,,,,,,
20_letter_by_threshold,elixir,0.8680303030303029,youden,,,,,,,,,,
21_Lymphography,elixir,1.0,youden,-1.5365626790957465,3.0,0.0,0.0,28.0,1.0,0.0,1.0,1.0,1.0
21_Lymphography_by_fpr,elixir,1.0,youden,,,,,,,,,,
21_Lymphography_by_threshold,elixir,1.0,youden,,,,,,,,,,
22_magic.gamma,elixir,0.834659295737848,youden,-1.1297074768022677,2973.0,362.0,1441.0,2104.0,0.673538740371545,0.1467964314679643,0.8914542728635683,0.673538740371545,0.767324816105304
22_magic.gamma_by_fpr,elixir,0.834659295737848,youden,,,,,,,,,,
22_magic.gamma_by_threshold,elixir,0.834659295737848,youden,,,,,,,,,,
23_mammography,elixir,0.8531933466143992,youden,-1.1379563858964992,132.0,374.0,39.0,1810.0,0.7719298245614035,0.1712454212454212,0.2608695652173913,0.7719298245614035,0.3899556868537666
23_mammography_by_fpr,elixir,0.8531933466143992,youden,,,,,,,,,,
23_mammography_by_threshold,elixir,0.8531933466143992,youden,,,,,,,,,,
24_mnist,elixir,0.9490840077796601,youden,-1.1450509319727662,396.0,135.0,66.0,1245.0,0.8571428571428571,0.0978260869565217,0.7457627118644068,0.8571428571428571,0.7975830815709971
24_mnist_by_fpr,elixir,0.9490840077796601,youden,,,,,,,,,,
24_mnist_by_threshold,elixir,0.9490840077796601,youden,,,,,,,,,,
25_musk,elixir,1.0,youden,-1.16518910816323,64.0,0.0,0.0,593.0,1.0,0.0,1.0,1.0,1.0
25_musk_by_fpr,elixir,1.0,youden,,,,,,,,,,
25_musk_by_threshold,elixir,1.0,youden,,,,,,,,,,
2_annthyroid,elixir,0.7253823399031577,youden,-1.3150582349416111,156.0,124.0,196.0,1209.0,0.4431818181818182,0.0930232558139534,0.5571428571428572,0.4431818181818182,0.4936708860759494
2_annthyroid_by_fpr,elixir,0.7253823399031577,youden,,,,,,,,,,
2_annthyroid_by_threshold,elixir,0.7253823399031577,youden,,,,,,,,,,
4_breastw,elixir,0.9695280833815867,youden,-2.383276328041772,153.0,6.0,4.0,82.0,0.9745222929936306,0.0681818181818181,0.9622641509433962,0.9745222929936306,0.9683544303797468
4_breastw_by_fpr,elixir,0.9695280833815867,youden,,,,,,,,,,
4_breastw_by_threshold,elixir,0.9695280833815867,youden,,,,,,,,,,
5_campaign,elixir,0.6627725550463048,youden,-1.0391561498299262,2264.0,3408.0,798.0,3901.0,0.7393860222077073,0.4662744561499521,0.3991537376586742,0.7393860222077073,0.5184337073505839
5_campaign_by_fpr,elixir,0.6627725550463048,youden,,,,,,,,,,
5_campaign_by_threshold,elixir,0.6627725550463048,youden,,,,,,,,,,
6_cardio,elixir,0.9398374830711533,youden,-1.1668242569258644,114.0,76.0,2.0,255.0,0.9827586206896552,0.229607250755287,0.6,0.9827586206896552,0.7450980392156863
6_cardio_by_fpr,elixir,0.9398374830711533,youden,,,,,,,,,,
6_cardio_by_threshold,elixir,0.9398374830711533,youden,,,,,,,,,,
7_Cardiotocography,elixir,0.814936190014158,youden,-1.0927416979442777,239.0,87.0,68.0,242.0,0.7785016286644951,0.2644376899696048,0.7331288343558282,0.7785016286644951,0.7551342812006319
7_Cardiotocography_by_fpr,elixir,0.814936190014158,youden,,,,,,,,,,
7_Cardiotocography_by_threshold,elixir,0.814936190014158,youden,,,,,,,,,,
8_celeba,elixir,0.42364820579456763,youden,-1.0095831652292775,2573.0,31368.0,428.0,8242.0,0.8573808730423192,0.7919212320121182,0.075808019799063,0.8573808730423192,0.1392994423691191
8_celeba_by_fpr,elixir,0.42364820579456763,youden,,,,,,,,,,
8_celeba_by_threshold,elixir,0.42364820579456763,youden,,,,,,,,,,
