dataset_file,Elliptic_Envelope,HST_C_baseline,HST_C_proposed,LOF,OCSVM
10_cover.csv,0.0487085955481178,0.036836472289912825,0.036707795259809245,0.9684169411186434,0.07859733769865726
11_donors.csv,0.5568215419147714,0.9054517740099671,0.9083955145924322,0.9101211778999853,0.7902873938922552
12_fault.csv,0.6886053297333662,0.8069118770468064,0.8047699559204127,0.7091688014450702,0.7230373254898488
13_fraud.csv,0.6256104660120891,0.4818302961907946,0.42001643821143836,0.030934257476384334,0.571371070619282
14_glass.csv,0.23996240601503754,0.3916666666666666,0.35,0.3107142857142857,0.2584084617645639
15_Hepatitis.csv,0.7236111111111111,0.43218954248366015,0.3827141112855398,0.4670459850606909,0.5956094559035735
16_http.csv,0.6262750838861634,0.3470478952434167,0.2966877505629908,0.15142445037130764,0.41217291428782
17_InternetAds.csv,0.5338232737087625,0.6444130535773271,0.5979394778324043,0.809442140335514,0.7536195867226841
18_Ionosphere.csv,0.980377629113837,0.9669282475686413,0.969979153642003,0.9689752799925491,0.9782337514332756
19_landsat.csv,0.5046257708920969,0.5270612378548734,0.5225114753564313,0.773048973478021,0.48984446135807885
1_ALOI.csv,0.10206513056300642,0.09412188214601466,0.09339880369698977,0.22404251940938505,0.12008284349368543
20_letter.csv,0.4442482155170984,0.6353708094056758,0.6847193231648143,0.6378119475799258,0.275629244850779
21_Lymphography.csv,0.8333333333333334,0.5,0.375,0.8333333333333334,0.8333333333333334
22_magic.gamma.csv,0.8431176621523895,0.8708124169532504,0.8679192200187643,0.9076263611932263,0.8592090832848515
23_mammography.csv,0.11777699665898168,0.25613478740597984,0.2833879691582848,0.49746735058250546,0.5102972402249624
24_mnist.csv,0.7120301859595942,0.16353035163684543,0.1547327527339612,0.8810338758786865,0.7565934652108677
25_musk.csv,0.9849350855911982,0.9841269841269843,0.9682539682539683,0.9921875,0.9921875
2_annthyroid.csv,0.7080358638250996,0.6713453231725843,0.6735209070086507,0.536264868610174,0.391570540192681
4_breastw.csv,0.9892007172003074,0.9147952611315842,0.9189414884658111,0.9456183249761723,0.9943700588675104
5_campaign.csv,0.5974789397375393,0.5876721105935747,0.5865202977316714,0.4280761536079377,0.5060122136793765
6_cardio.csv,0.6362023451562188,0.638255474603799,0.6020743520630426,0.8284428409872848,0.9107967707046192
7_Cardiotocography.csv,0.6191317624599639,0.6110115692492375,0.600371600124535,0.7503620522727634,0.7528889904270024
8_celeba.csv,0.33775407611227437,0.14563531745324743,0.15566526074590908,0.05523050010993504,0.1095545183464864
