dataset_file,dataset,algorithm,roc_auc,pr_auc_trapz_from_confusion
22_magic.gamma.csv,22_magic.gamma,HST_C_proposed,0.7664375003990289,0.8679192200187643
22_magic.gamma.csv,22_magic.gamma,LOF,0.834659295737848,0.9076263611932263
22_magic.gamma.csv,22_magic.gamma,OCSVM,0.7398871135894012,0.8592090832848515
23_mammography.csv,23_mammography,Elliptic_Envelope,0.7136136280873122,0.11777699665898168
23_mammography.csv,23_mammography,HST_C_baseline,0.8423249683961416,0.25613478740597984
23_mammography.csv,23_mammography,HST_C_proposed,0.8516608838322751,0.2833879691582848
23_mammography.csv,23_mammography,LOF,0.853193346614399,0.49746735058250546
23_mammography.csv,23_mammography,OCSVM,0.8225558554505923,0.5102972402249624
24_mnist.csv,24_mnist,Elliptic_Envelope,0.8951847669238974,0.7120301859595942
24_mnist.csv,24_mnist,HST_C_baseline,0.2409038162870174,0.16353035163684543
24_mnist.csv,24_mnist,HST_C_proposed,0.1898765999626495,0.1547327527339612
24_mnist.csv,24_mnist,LOF,0.94908400777966,0.8810338758786865
24_mnist.csv,24_mnist,OCSVM,0.8943707258924651,0.7565934652108677
25_musk.csv,25_musk,Elliptic_Envelope,0.999025084317032,0.9849350855911982
25_musk.csv,25_musk,HST_C_baseline,1.0,0.9841269841269843
25_musk.csv,25_musk,HST_C_proposed,1.0,0.9682539682539683
25_musk.csv,25_musk,LOF,1.0,0.9921875
25_musk.csv,25_musk,OCSVM,1.0,0.9921875
2_annthyroid.csv,2_annthyroid,Elliptic_Envelope,0.9088884437018344,0.7080358638250996
2_annthyroid.csv,2_annthyroid,HST_C_baseline,0.885644974753886,0.6713453231725843
2_annthyroid.csv,2_annthyroid,HST_C_proposed,0.8817511928707656,0.6735209070086507
2_annthyroid.csv,2_annthyroid,LOF,0.7253823399031576,0.536264868610174
2_annthyroid.csv,2_annthyroid,OCSVM,0.6712111266452977,0.391570540192681
4_breastw.csv,4_breastw,Elliptic_Envelope,0.9880573248407644,0.9892007172003074
4_breastw.csv,4_breastw,HST_C_baseline,0.922161172161172,0.9147952611315842
4_breastw.csv,4_breastw,HST_C_proposed,0.9210164835164836,0.9189414884658111
4_breastw.csv,4_breastw,LOF,0.9695280833815866,0.9456183249761723
4_breastw.csv,4_breastw,OCSVM,0.9952229299363056,0.9943700588675104
5_campaign.csv,5_campaign,Elliptic_Envelope,0.791873363896716,0.5974789397375393
5_campaign.csv,5_campaign,HST_C_baseline,0.7408723238482181,0.5876721105935747
5_campaign.csv,5_campaign,HST_C_proposed,0.7386244572621885,0.5865202977316714
5_campaign.csv,5_campaign,LOF,0.6627725550463048,0.4280761536079377
5_campaign.csv,5_campaign,OCSVM,0.6230621785601335,0.5060122136793765
6_cardio.csv,6_cardio,Elliptic_Envelope,0.842405458901969,0.6362023451562188
6_cardio.csv,6_cardio,HST_C_baseline,0.8095308278064353,0.638255474603799
6_cardio.csv,6_cardio,HST_C_proposed,0.7979120609186934,0.6020743520630426
6_cardio.csv,6_cardio,LOF,0.9398374830711532,0.8284428409872848
6_cardio.csv,6_cardio,OCSVM,0.971559537451818,0.9107967707046192
7_Cardiotocography.csv,7_Cardiotocography,Elliptic_Envelope,0.6576636337534528,0.6191317624599639
7_Cardiotocography.csv,7_Cardiotocography,HST_C_baseline,0.5469862018881625,0.6110115692492375
7_Cardiotocography.csv,7_Cardiotocography,HST_C_proposed,0.5357505965349101,0.600371600124535
7_Cardiotocography.csv,7_Cardiotocography,LOF,0.8149361900141581,0.7503620522727634
7_Cardiotocography.csv,7_Cardiotocography,OCSVM,0.8002633585141035,0.7528889904270024
8_celeba.csv,8_celeba,Elliptic_Envelope,0.8607644796681002,0.33775407611227437
8_celeba.csv,8_celeba,HST_C_baseline,0.7067583993721032,0.14563531745324743
8_celeba.csv,8_celeba,HST_C_proposed,0.7148936417111889,0.15566526074590908
8_celeba.csv,8_celeba,LOF,0.4236482057945676,0.05523050010993504
8_celeba.csv,8_celeba,OCSVM,0.5487021619739477,0.1095545183464864
