,LOF,HST_C_baseline,Elliptic_Envelope,OCSVM,HST_C_proposed
LOF,1.0,0.9996593602010653,0.9963131685032833,0.8603823890792793,0.8128575767126507
HST_C_baseline,0.9996593602010653,1.0,0.9998348084799775,0.9332458413929805,0.900657258889647
Elliptic_Envelope,0.9963131685032833,0.9998348084799775,1.0,0.9708765952326996,0.950712712276083
OCSVM,0.8603823890792793,0.9332458413929805,0.9708765952326996,1.0,0.9999784169566303
HST_C_proposed,0.8128575767126507,0.900657258889647,0.950712712276083,0.9999784169566303,1.0
