dataset,algo,auc,selected_by,threshold,tp,fp,fn,tn,tpr,fpr,precision,recall,f1
10_cover,elliptic,0.6998296318174289,youden,156.65223379024945,1703.0,27911.0,110.0,28749.0,0.939327082184225,0.4926050123543946,0.0575065847234416,0.939327082184225,0.1083781461800362
10_cover_by_fpr,elliptic,0.6998296318174289,youden,,,,,,,,,,
10_cover_by_threshold,elliptic,0.6998296318174289,youden,,,,,,,,,,
11_donors,elliptic,0.9218643946872546,youden,88824.94079707135,24228.0,17048.0,0.0,99475.0,1.0,0.1463058795259305,0.5869754821203605,1.0,0.7397410845139228
11_donors_by_fpr,elliptic,0.9218643946872546,youden,,,,,,,,,,
11_donors_by_threshold,elliptic,0.9218643946872546,youden,,,,,,,,,,
12_fault,elliptic,0.6097015988320336,youden,447.7747254851997,289.0,114.0,155.0,139.0,0.6509009009009009,0.4505928853754941,0.71712158808933,0.6509009009009009,0.6824085005903188
12_fault_by_fpr,elliptic,0.6097015988320336,youden,,,,,,,,,,
12_fault_by_threshold,elliptic,0.6097015988320336,youden,,,,,,,,,,
13_fraud,elliptic,0.9105035972316395,youden,-299371776153.19135,256.0,612.0,68.0,56251.0,0.7901234567901234,0.0107627103740569,0.2949308755760368,0.7901234567901234,0.4295302013422818
13_fraud_by_fpr,elliptic,0.9105035972316395,youden,,,,,,,,,,
13_fraud_by_threshold,elliptic,0.9105035972316395,youden,,,,,,,,,,
14_glass,elliptic,0.7707317073170733,youden,7307.544372035491,5.0,15.0,0.0,26.0,1.0,0.3658536585365853,0.25,1.0,0.4
14_glass_by_fpr,elliptic,0.7707317073170733,youden,,,,,,,,,,
14_glass_by_threshold,elliptic,0.7707317073170733,youden,,,,,,,,,,
15_Hepatitis,elliptic,0.7884615384615384,youden,31.647147727871648,7.0,5.0,1.0,8.0,0.875,0.3846153846153846,0.5833333333333334,0.875,0.7000000000000001
15_Hepatitis_by_fpr,elliptic,0.7884615384615384,youden,,,,,,,,,,
15_Hepatitis_by_threshold,elliptic,0.7884615384615384,youden,,,,,,,,,,
16_http,elliptic,0.9993949718012707,youden,-354.4348704485816,1457.0,70.0,2.0,112987.0,0.9986291980808774,0.0006191567085629,0.954158480681074,0.9986291980808774,0.9758874748827864
16_http_by_fpr,elliptic,0.9993949718012707,youden,,,,,,,,,,
16_http_by_threshold,elliptic,0.9993949718012707,youden,,,,,,,,,,
17_InternetAds,elliptic,0.5714331977512371,youden,319.9579584501862,106.0,82.0,136.0,237.0,0.4380165289256198,0.2570532915360501,0.5638297872340425,0.4380165289256198,0.4930232558139534
17_InternetAds_by_fpr,elliptic,0.5714331977512371,youden,,,,,,,,,,
17_InternetAds_by_threshold,elliptic,0.5714331977512371,youden,,,,,,,,,,
18_Ionosphere,elliptic,0.967871485943775,youden,-70.68907333452762,77.0,2.0,6.0,43.0,0.927710843373494,0.0444444444444444,0.9746835443037974,0.927710843373494,0.9506172839506172
18_Ionosphere_by_fpr,elliptic,0.967871485943775,youden,,,,,,,,,,
18_Ionosphere_by_threshold,elliptic,0.967871485943775,youden,,,,,,,,,,
19_landsat,elliptic,0.6004528318722256,youden,831.1145629757899,487.0,298.0,392.0,722.0,0.5540386803185438,0.292156862745098,0.6203821656050955,0.5540386803185438,0.5853365384615384
19_landsat_by_fpr,elliptic,0.6004528318722256,youden,,,,,,,,,,
19_landsat_by_threshold,elliptic,0.6004528318722256,youden,,,,,,,,,,
1_ALOI,elliptic,0.5347298700687195,youden,978083.3006658092,539.0,4405.0,456.0,5200.0,0.5417085427135678,0.4586153045288912,0.1090210355987055,0.5417085427135678,0.1815120390638155
1_ALOI_by_fpr,elliptic,0.5347298700687195,youden,,,,,,,,,,
1_ALOI_by_threshold,elliptic,0.5347298700687195,youden,,,,,,,,,,
20_letter,elliptic,0.8286363636363636,youden,111.5093066161184,56.0,89.0,10.0,211.0,0.8484848484848485,0.2966666666666667,0.3862068965517241,0.8484848484848485,0.5308056872037914
20_letter_by_fpr,elliptic,0.8286363636363636,youden,,,,,,,,,,
20_letter_by_threshold,elliptic,0.8286363636363636,youden,,,,,,,,,,
21_Lymphography,elliptic,1.0,youden,-75.03196265807993,3.0,0.0,0.0,28.0,1.0,0.0,1.0,1.0,1.0
21_Lymphography_by_fpr,elliptic,1.0,youden,,,,,,,,,,
21_Lymphography_by_threshold,elliptic,1.0,youden,,,,,,,,,,
22_magic.gamma,elliptic,0.738853206508378,youden,100.58712681809877,3106.0,896.0,1308.0,1570.0,0.7036701404621658,0.3633414436334144,0.776111944027986,0.7036701404621658,0.7381178707224334
22_magic.gamma_by_fpr,elliptic,0.738853206508378,youden,,,,,,,,,,
22_magic.gamma_by_threshold,elliptic,0.738853206508378,youden,,,,,,,,,,
