threshold,fpr,tpr
0.0,0.0,0.0
0.17287315066007303,1.0,1.0
0.18351250146327425,0.8391905460724493,1.0
0.1840712003964823,0.7862052985247547,1.0
0.1841790179593998,0.7630768174523485,1.0
0.1891528828666486,0.7630682354556612,1.0
0.18973243158227793,0.7276074251435339,1.0
0.1906408084039751,0.7119624451824962,1.0
0.19560932525313646,0.7119538631858088,1.0
0.19574865523028775,0.7034920144520824,1.0
0.19609614884535592,0.6965920891154536,1.0
0.196221167285285,0.6759523870823786,1.0
0.1963609330695547,0.6757464191618822,1.0
0.1963646586041073,0.675102769410331,1.0
0.19646136032528042,0.6605391210318993,1.0
0.19660129719592725,0.6605219570385246,1.0
0.19690077801577546,0.6605133750418373,1.0
0.19704102787792557,0.652841070003347,1.0
0.19850190708774304,0.6495370012787175,1.0
0.19885401385905413,0.6313345863048497,1.0
0.19885979752848507,0.631317422311475,1.0
0.19906786486419895,0.6243917509847842,1.0
0.20009867312313442,0.6041725667893892,1.0
0.20040284517912346,0.6040095088523296,1.0
0.20084277591342853,0.5903727161161316,1.0
0.20084416131914906,0.5903469701260695,1.0
0.20150098829528063,0.5849574762064141,1.0
0.2015154410596593,0.5751568359894613,1.0
0.20154295539988093,0.5716382173476481,1.0
0.20191722099315476,0.565098735871888,1.0
0.2019869135502844,0.5631677866172343,1.0
0.2020486440257531,0.5609193034851488,1.0
0.20237294393351046,0.5609107214884615,1.0
0.20238963350199848,0.5587480583232495,1.0
0.20253387615044352,0.5575465787870206,1.0
0.2025719225354401,0.5575379967903332,1.0
0.20281800877492615,0.5554868995820568,1.0
0.2028740704417948,0.5551779477013122,1.0
0.20301742497675526,0.5530238665327876,1.0
0.2030735417649848,0.5519768629369309,1.0
0.20320331547175988,0.5507324734172653,1.0
0.2032439560745225,0.5417299588922359,1.0
0.20326857986140337,0.5389923019489714,1.0
0.2033622525699541,0.5389150639787853,1.0
0.20344379107936203,0.5343751877311775,1.0
0.20346843907702228,0.5332252001750727,1.0
0.2039100762109895,0.5330192322545764,1.0
0.20395092035901222,0.5152030071316392,1.0
0.20461219197089087,0.515194425134952,1.0
0.20471093334081697,0.5108948447945899,1.0
0.2047537244308634,0.5016863623490642,1.0
0.20494622137756718,0.49857967954824367,1.0
0.20509026028984179,0.4931644396385263,1.0
0.2052781254309853,0.49315585764183895,1.0
0.20534882498730786,0.48823837353998784,1.0
0.20582926619545852,0.4869768200269475,1.0
0.20595552917203955,0.48594698042446555,1.0
0.20609648331501773,0.48549213460003604,1.0
0.20639051688662588,0.4852775846828523,1.0
0.20645814849597652,0.47716759781330725,1.0
0.20652717532541437,0.4769787938861856,1.0
0.20653928331457816,0.47584597032345544,1.0
0.20654629493498022,0.47434412090316935,1.0
0.2065963735925392,0.46633711799387245,1.0
0.2067758401532882,0.46559048428207306,1.0
0.20678728246365038,0.46220917758725744,1.0
0.20681794817314694,0.4621662676038207,1.0
0.20685633359393668,0.46138530590527194,1.0
0.20688866323578706,0.46094762407421713,1.0
0.20695949254806342,0.46038121229285206,1.0
0.20700005686251113,0.4600293504286707,1.0
0.20701441815603072,0.460012186435296,1.0
0.2071618718324563,0.4593170447036207,1.0
0.20727108913662823,0.4568540116543515,1.0
0.2073490690904438,0.45675960969079066,1.0
0.20735215341935392,0.45656222376698163,1.0
0.20737326910349677,0.4560902139491774,1.0
0.20739188801669053,0.4560730499558027,1.0
0.20744119651180595,0.4546913484891395,1.0
0.20758731243951437,0.45391896878727805,1.0
0.20769512391576447,0.45275181723779856,1.0
0.20772218946564963,0.4527432352411112,1.0
0.20772252462705926,0.45235704539018046,1.0
0.20774496529969702,0.4516104116783811,1.0
0.20777181152630197,0.4512928778009492,1.0
0.20780538436484464,0.4509152699467058,1.0
0.20795348680706602,0.44989401234091125,1.0
0.20796090418808888,0.44987684834753655,1.0
0.20796134582472214,0.4494477485131691,1.0
0.2079950345936834,0.4475339632518902,1.0
0.20802614363392471,0.4453970460767402,1.0
0.20811152948685088,0.4453884640800529,1.0
0.2081189734480719,0.4441011645769505,1.0
0.20814586319132783,0.4439552706332655,1.0
0.2081885913815975,0.44378363069951854,1.0
0.2082204206503834,0.4437750487028312,1.0
0.2083065171127468,0.44310565296121796,1.0
0.2083083376319805,0.44308848896784325,1.0
0.20850482004998633,0.4430627429777812,1.0
0.20851132976577377,0.4426937171202252,1.0
0.20851547566291825,0.44265080713678845,1.0
0.20854328073735617,0.4277181329008007,1.0
0.2085630117730799,0.42748641899024226,1.0
0.20862395959761337,0.42745209100349285,1.0
0.2086418360353557,0.4274435090068055,1.0
0.20870708896170595,0.42710022913931156,1.0
0.20873968634340664,0.4269714991890013,1.0
0.20875514320126745,0.4269543351956266,1.0
0.20877255972946462,0.4266539653115694,1.0
0.20881837757712884,0.42662821932150735,1.0
0.20885574830552173,0.42655956334800854,1.0
0.20887889200457485,0.42625061146726395,1.0
0.20888127058572917,0.42534091981840494,1.0
0.20889093836652875,0.4250405499343477,1.0
0.20889723313425634,0.42479167203041457,1.0
0.20890295375835197,0.42476592604035257,1.0
0.20895405447105359,0.4247401800502905,1.0
0.20896256593628448,0.42459428610660555,1.0
0.20899045166433614,0.4245857041099182,1.0
0.20908652281384824,0.42451704813641944,1.0
0.2090875656520669,0.4235558645074363,1.0
0.20911021463423998,0.4134720183998009,1.0
0.20911140725302496,0.4129313526084979,1.0
0.20913177903644034,0.41292277061181054,1.0
0.20913696077488778,0.4123649408271328,1.0
0.20917219528767647,0.4123477768337581,1.0
0.20922237393148488,0.41053697553272744,1.0
0.20936338172548663,0.41011645769504734,1.0
0.2094275936399034,0.40964444787724313,1.0
0.20947228185661715,0.40940415196999735,1.0
0.20952715170113043,0.4063575431459883,1.0
0.20955734051694208,0.4062459771890528,1.0
0.20962355667299667,0.4061086652420552,1.0
0.20968395257951855,0.4035340662358504,1.0
0.2098217947209607,0.4033881722921655,1.0
0.20983380520305742,0.40337959029547815,1.0
0.209892435497686,0.40134565708057635,1.0
0.20994126737279475,0.400624769358839,1.0
0.20994203144139262,0.39429125580357527,1.0
0.2100669012209382,0.38996592947315123,1.0
0.2103323156653712,0.3889360898706693,1.0
0.2104086283211819,0.38879877792367173,1.0
0.21063936250540083,0.3887129579567982,1.0
0.21064979548054932,0.38842117006942833,1.0
0.21071004124279155,0.3882066201522446,1.0
0.2107682442056086,0.3875543884040061,1.0
