threshold,fpr,tpr
-2.217339431286833,0.0,0.0
-2.216631219957721,0.0,0.015625
-2.2075228214622036,0.0,0.03125
-2.1967931857802068,0.0,0.046875
-2.196119852859854,0.0,0.0625
-2.1955540020389286,0.0,0.078125
-2.194832144585886,0.0,0.09375
-2.193112505202072,0.0,0.109375
-2.190235633619784,0.0,0.125
-2.1898501607966403,0.0,0.140625
-2.1897624867410594,0.0,0.15625
-2.176059057892345,0.0,0.171875
-2.174279612940357,0.0,0.1875
-2.168221573137589,0.0,0.203125
-2.1680105604098174,0.0,0.21875
-2.1666600561863616,0.0,0.234375
-2.1615388849878654,0.0,0.25
-2.161393232253008,0.0,0.265625
-2.148702640737549,0.0,0.28125
-2.1483566419673368,0.0,0.296875
-2.148298104142434,0.0,0.3125
-2.147819398923554,0.0,0.328125
-2.1476578637788366,0.0,0.34375
-2.147634256767413,0.0,0.359375
-2.144708173531724,0.0,0.375
-2.1438143561302425,0.0,0.390625
-2.143761347771821,0.0,0.40625
-2.1418123011529886,0.0,0.421875
-2.1411037105968407,0.0,0.4375
-2.1331958266170647,0.0,0.453125
-2.132600336166926,0.0,0.46875
-2.127315001366721,0.0,0.484375
-2.126838444457248,0.0,0.5
-2.11649100556417,0.0,0.515625
-2.113632573854698,0.0,0.53125
-2.1134876418539057,0.0,0.546875
-2.107253183126229,0.0,0.5625
-2.1072016754091236,0.0,0.578125
-2.1070200728180346,0.0,0.59375
-2.1053096275298224,0.0,0.609375
-2.0988634463606592,0.0,0.625
-2.0983696396472755,0.0,0.640625
-2.0981888932194606,0.0,0.65625
-2.0902092037161495,0.0,0.671875
-2.084962374513782,0.0,0.6875
-2.0788551052963804,0.0,0.703125
-2.0787035984740303,0.0,0.71875
-2.0781524441389183,0.0,0.734375
-2.0746327616316824,0.0,0.75
-2.073239551901717,0.0,0.765625
-2.0726464263748,0.0,0.78125
-2.0644377845407598,0.0,0.796875
-2.0580969576869594,0.0,0.8125
-2.0559619810391334,0.0,0.828125
-2.050257342688866,0.0,0.84375
-2.050234968097806,0.0,0.859375
-2.0478920292362304,0.0,0.875
-2.0468917816190966,0.0,0.890625
-2.0456378367228574,0.0,0.90625
-2.0453971404526534,0.0,0.921875
-2.0450702029304817,0.0,0.9375
-2.0056583920061253,0.0,0.953125
-2.005626893835567,0.0,0.96875
-1.9848574794000569,0.0,0.984375
-1.16518910816323,0.0,1.0
-1.1535672184950592,0.0016863406408094434,1.0
-1.1512412029284362,0.003372681281618887,1.0
-1.1454644325127308,0.00505902192242833,1.0
-1.1410651560682419,0.006745362563237774,1.0
-1.1368576902012741,0.008431703204047217,1.0
-1.1344570104609029,0.01011804384485666,1.0
-1.1327342320895253,0.011804384485666104,1.0
-1.1325507626722897,0.013490725126475547,1.0
-1.1319634101103777,0.01517706576728499,1.0
-1.1232909204519714,0.016863406408094434,1.0
-1.1211598323905345,0.01854974704890388,1.0
-1.1137703393060894,0.02023608768971332,1.0
-1.1132210461622567,0.021922428330522766,1.0
-1.1128793871204592,0.023608768971332208,1.0
-1.1119962268235821,0.025295109612141653,1.0
-1.1117366266490205,0.026981450252951095,1.0
-1.1113489575329711,0.02866779089376054,1.0
-1.1105647238979313,0.03035413153456998,1.0
-1.110530804417175,0.03204047217537943,1.0
-1.1103427500884855,0.03372681281618887,1.0
-1.1100917126422267,0.03541315345699832,1.0
-1.1089597474990067,0.03709949409780776,1.0
-1.1087563256338429,0.0387858347386172,1.0
-1.107849338458011,0.04047217537942664,1.0
-1.1046480134241474,0.04215851602023609,1.0
-1.104109446042323,0.04384485666104553,1.0
-1.1035401700763,0.045531197301854974,1.0
-1.103401278714385,0.047217537942664416,1.0
-1.1028614292666479,0.048903878583473864,1.0
-1.1025765760653325,0.050590219224283306,1.0
-1.1021494547380333,0.05227655986509275,1.0
-1.1018658054077786,0.05396290050590219,1.0
-1.1016825951142961,0.05564924114671164,1.0
-1.101006944963936,0.05733558178752108,1.0
-1.099330125003546,0.05902192242833052,1.0
-1.0990202329825975,0.06070826306913996,1.0
-1.098256865008733,0.06239460370994941,1.0
-1.0975594733844014,0.06408094435075885,1.0
-1.0968924855092022,0.0657672849915683,1.0
-1.0961122235500917,0.06745362563237774,1.0
-1.0956082666745617,0.06913996627318718,1.0
-1.0952074015445146,0.07082630691399663,1.0
-1.0941426831437089,0.07251264755480608,1.0
-1.0940875232622798,0.07419898819561552,1.0
-1.093703429985852,0.07588532883642496,1.0
-1.0931301507221427,0.0775716694772344,1.0
-1.0931039537306582,0.07925801011804384,1.0
-1.0911068675756581,0.08094435075885328,1.0
-1.0903660746908073,0.08263069139966273,1.0
-1.0889569504242793,0.08431703204047218,1.0
-1.0878504880195994,0.08600337268128162,1.0
-1.0875270570820994,0.08768971332209106,1.0
-1.0872261701817711,0.0893760539629005,1.0
-1.0871784999297611,0.09106239460370995,1.0
-1.0864324144331101,0.09274873524451939,1.0
-1.086347829430234,0.09443507588532883,1.0
-1.086181723289147,0.09612141652613827,1.0
-1.0860976372000442,0.09780775716694773,1.0
-1.0837828511799081,0.09949409780775717,1.0
-1.082784810020344,0.10118043844856661,1.0
-1.0826342192977407,0.10286677908937605,1.0
-1.081883040078031,0.1045531197301855,1.0
-1.0817387811210695,0.10623946037099494,1.0
-1.0802301404068484,0.10792580101180438,1.0
-1.0801339773895766,0.10961214165261383,1.0
-1.0795931576570759,0.11129848229342328,1.0
-1.0794353719617857,0.11298482293423272,1.0
-1.0787133918678897,0.11467116357504216,1.0
-1.0785420940841686,0.1163575042158516,1.0
-1.0775230954907817,0.11804384485666104,1.0
-1.0749750458160992,0.11973018549747048,1.0
-1.0741474379871254,0.12141652613827993,1.0
-1.0734038230550706,0.12310286677908938,1.0
-1.072997691831828,0.12478920741989882,1.0
-1.072327362375233,0.12647554806070826,1.0
-1.0715454324504081,0.1281618887015177,1.0
-1.0704942138946993,0.12984822934232715,1.0
-1.0702549679481828,0.1315345699831366,1.0
-1.0702019018322386,0.13322091062394603,1.0
-1.069545756944992,0.13490725126475547,1.0
-1.0692188917345915,0.13659359190556492,1.0
-1.068696244991784,0.13827993254637436,1.0
-1.0685573730957685,0.1399662731871838,1.0
-1.0682760800540707,0.14165261382799327,1.0
-1.0682366762010462,0.1433389544688027,1.0
-1.0677427429677628,0.14502529510961215,1.0
-1.0668233407160614,0.1467116357504216,1.0
