dataset,adjusted,mad,zscore_more_trees
10_cover,0.7642052625597582,0.7716954204185514,0.5200860853518153
11_donors,0.7624580432681235,0.03239335941600584,0.9927073340315618
12_fault,0.5572643571923713,0.5273590942215745,0.7485647251204209
13_fraud,0.9362349275640935,0.9425221580373035,0.937460061071605
14_glass,0.9545454545454546,0.7272727272727273,0.8636363636363636
15_Hepatitis,0.6369047619047619,0.6011904761904762,0.5357142857142856
16_http,0.9581586265517623,0.1966787478380468,0.9899696180157502
17_InternetAds,0.6071668293873567,0.5739412985111056,0.5777855748108371
18_Ionosphere,0.9327970939283861,0.8624805396990141,0.9657498702646601
19_landsat,0.8089732996745199,0.5504123280730024,0.5881580929512784
1_ALOI,0.5275928920849335,0.5016289235940301,0.5139659573389973
20_letter,0.6562877395641902,0.4694670517196114,0.8540299291152534
21_Lymphography,0.5,0.7708333333333334,0.9722222222222222
22_magic.gamma,0.7738048345782631,0.7534810519830003,0.7707217724239337
23_mammography,0.7762298609430055,0.7483740821431454,0.8490680222706367
24_mnist,0.4706807193626805,0.21784631739236612,0.30623512567458205
25_musk,1.0,0.5656351971682982,1.0
26_optdigits,0.728438775510204,0.8015255102040817,0.9183775510204082
27_PageBlocks,0.8930363661568319,0.9388737427414015,0.9418557367958968
28_pendigits,0.9538936767839108,0.8972781492594532,0.9770205613264231
29_Pima,0.7702040816326531,0.5826530612244898,0.7406122448979591
2_annthyroid,0.7548794327164472,0.9325678129943172,0.8748901517370672
30_satellite,0.8723647415395435,0.6627024062693615,0.7810876772886352
32_shuttle,0.427773997863105,0.5167456671980577,0.9990050814516533
33_skin,0.8962002849364461,0.9718761982282879,0.9672645637821635
34_smtp,0.5513748803436763,0.9113813592958372,0.9606213957180547
35_SpamBase,0.7358718638271949,0.6324080130967338,0.8032781636884058
36_speech,0.5473372781065089,0.552590998744845,0.5784471938318092
37_Stamps,0.9511278195488722,0.7866541353383458,0.9182330827067668
38_thyroid,0.9229394353369763,0.9721539162112933,0.9934881602914389
39_vertebral,0.42506459948320413,0.5329457364341086,0.43152454780361754
40_vowels,0.8752224199288257,0.9562944839857651,0.969417259786477
41_Waveform,0.8133547008547009,0.5951092117758785,0.6488485280151948
42_WBC,0.9783783783783784,1.0,0.9513513513513514
43_WDBC,0.9784615384615385,0.6523076923076923,0.8307692307692307
44_Wilt,0.7019675014437969,0.764182023415761,0.676241665354124
45_wine,0.9375,0.7875,0.975
46_WPBC,0.5752136752136753,0.5811965811965812,0.5692307692307692
47_yeast,0.4030362020311769,0.43117992364223523,0.4549021383192237
4_breastw,0.9933989621489622,0.9669948107448108,0.9179639804639805
5_campaign,0.5877950778169082,0.47975833321689565,0.7403455158107839
6_cardio,0.8037582903463523,0.7123925325472857,0.7930483910587081
7_Cardiotocography,0.6323581284365598,0.6946415603278349,0.5315592903828198
8_celeba,0.7061597927268737,0.6983196276510453,0.720467060789427
