dataset,method,tag,file,auc,n_points
28_pendigits,mad,t100,csv/mad/28_pendigits_t100.csv,0.8972781492594532,1375
28_pendigits,zscore_more_trees,t100,csv/zscore_more_trees/28_pendigits_t100.csv,0.9770205613264231,1433
29_Pima,adjusted,t100,csv/adjusted/29_Pima_t100.csv,0.7702040816326531,289
29_Pima,mad,t100,csv/mad/29_Pima_t100.csv,0.5826530612244898,289
29_Pima,zscore_more_trees,t100,csv/zscore_more_trees/29_Pima_t100.csv,0.7406122448979591,288
2_annthyroid,adjusted,t100,csv/adjusted/2_annthyroid_t100.csv,0.7548794327164472,981
2_annthyroid,mad,t100,csv/mad/2_annthyroid_t100.csv,0.9325678129943172,1620
2_annthyroid,zscore_more_trees,t100,csv/zscore_more_trees/2_annthyroid_t100.csv,0.8748901517370672,1488
30_satellite,adjusted,t100,csv/adjusted/30_satellite_t100.csv,0.8723647415395435,1975
30_satellite,mad,t100,csv/mad/30_satellite_t100.csv,0.6627024062693615,1613
30_satellite,zscore_more_trees,t100,csv/zscore_more_trees/30_satellite_t100.csv,0.7810876772886352,2104
32_shuttle,adjusted,t100,csv/adjusted/32_shuttle_t100.csv,0.427773997863105,286
32_shuttle,mad,t100,csv/mad/32_shuttle_t100.csv,0.5167456671980577,225
32_shuttle,zscore_more_trees,t100,csv/zscore_more_trees/32_shuttle_t100.csv,0.9990050814516533,6063
33_skin,adjusted,t100,csv/adjusted/33_skin_t100.csv,0.8962002849364461,6597
33_skin,mad,t100,csv/mad/33_skin_t100.csv,0.9718761982282879,6871
33_skin,zscore_more_trees,t100,csv/zscore_more_trees/33_skin_t100.csv,0.9672645637821635,4452
34_smtp,adjusted,t100,csv/adjusted/34_smtp_t100.csv,0.5513748803436763,8313
34_smtp,mad,t100,csv/mad/34_smtp_t100.csv,0.9113813592958372,9330
34_smtp,zscore_more_trees,t100,csv/zscore_more_trees/34_smtp_t100.csv,0.9606213957180547,10809
35_SpamBase,adjusted,t100,csv/adjusted/35_SpamBase_t100.csv,0.7358718638271949,555
35_SpamBase,mad,t100,csv/mad/35_SpamBase_t100.csv,0.6324080130967338,342
35_SpamBase,zscore_more_trees,t100,csv/zscore_more_trees/35_SpamBase_t100.csv,0.8032781636884058,1383
36_speech,adjusted,t100,csv/adjusted/36_speech_t100.csv,0.5473372781065089,91
36_speech,mad,t100,csv/mad/36_speech_t100.csv,0.552590998744845,75
36_speech,zscore_more_trees,t100,csv/zscore_more_trees/36_speech_t100.csv,0.5784471938318092,72
37_Stamps,adjusted,t100,csv/adjusted/37_Stamps_t100.csv,0.9511278195488722,76
37_Stamps,mad,t100,csv/mad/37_Stamps_t100.csv,0.7866541353383458,76
37_Stamps,zscore_more_trees,t100,csv/zscore_more_trees/37_Stamps_t100.csv,0.9182330827067668,77
38_thyroid,adjusted,t100,csv/adjusted/38_thyroid_t100.csv,0.9229394353369763,708
38_thyroid,mad,t100,csv/mad/38_thyroid_t100.csv,0.9721539162112933,764
38_thyroid,zscore_more_trees,t100,csv/zscore_more_trees/38_thyroid_t100.csv,0.9934881602914389,766
39_vertebral,adjusted,t100,csv/adjusted/39_vertebral_t100.csv,0.42506459948320413,62
39_vertebral,mad,t100,csv/mad/39_vertebral_t100.csv,0.5329457364341086,61
39_vertebral,zscore_more_trees,t100,csv/zscore_more_trees/39_vertebral_t100.csv,0.43152454780361754,63
40_vowels,adjusted,t100,csv/adjusted/40_vowels_t100.csv,0.8752224199288257,313
40_vowels,mad,t100,csv/mad/40_vowels_t100.csv,0.9562944839857651,311
40_vowels,zscore_more_trees,t100,csv/zscore_more_trees/40_vowels_t100.csv,0.969417259786477,313
41_Waveform,adjusted,t100,csv/adjusted/41_Waveform_t100.csv,0.8133547008547009,712
41_Waveform,mad,t100,csv/mad/41_Waveform_t100.csv,0.5951092117758785,715
41_Waveform,zscore_more_trees,t100,csv/zscore_more_trees/41_Waveform_t100.csv,0.6488485280151948,707
42_WBC,adjusted,t100,csv/adjusted/42_WBC_t100.csv,0.9783783783783784,35
42_WBC,mad,t100,csv/mad/42_WBC_t100.csv,1.0,22
42_WBC,zscore_more_trees,t100,csv/zscore_more_trees/42_WBC_t100.csv,0.9513513513513514,44
43_WDBC,adjusted,t100,csv/adjusted/43_WDBC_t100.csv,0.9784615384615385,72
43_WDBC,mad,t100,csv/mad/43_WDBC_t100.csv,0.6523076923076923,72
43_WDBC,zscore_more_trees,t100,csv/zscore_more_trees/43_WDBC_t100.csv,0.8307692307692307,72
44_Wilt,adjusted,t100,csv/adjusted/44_Wilt_t100.csv,0.7019675014437969,929
44_Wilt,mad,t100,csv/mad/44_Wilt_t100.csv,0.764182023415761,1073
44_Wilt,zscore_more_trees,t100,csv/zscore_more_trees/44_Wilt_t100.csv,0.676241665354124,1039
45_wine,adjusted,t100,csv/adjusted/45_wine_t100.csv,0.9375,23
45_wine,mad,t100,csv/mad/45_wine_t100.csv,0.7875,23
45_wine,zscore_more_trees,t100,csv/zscore_more_trees/45_wine_t100.csv,0.975,23
46_WPBC,adjusted,t100,csv/adjusted/46_WPBC_t100.csv,0.5752136752136753,71
46_WPBC,mad,t100,csv/mad/46_WPBC_t100.csv,0.5811965811965812,71
46_WPBC,zscore_more_trees,t100,csv/zscore_more_trees/46_WPBC_t100.csv,0.5692307692307692,71
47_yeast,adjusted,t100,csv/adjusted/47_yeast_t100.csv,0.4030362020311769,520
47_yeast,mad,t100,csv/mad/47_yeast_t100.csv,0.43117992364223523,515
47_yeast,zscore_more_trees,t100,csv/zscore_more_trees/47_yeast_t100.csv,0.4549021383192237,523
4_breastw,adjusted,t100,csv/adjusted/4_breastw_t100.csv,0.9933989621489622,98
4_breastw,mad,t100,csv/mad/4_breastw_t100.csv,0.9669948107448108,54
4_breastw,zscore_more_trees,t100,csv/zscore_more_trees/4_breastw_t100.csv,0.9179639804639805,182
5_campaign,adjusted,t100,csv/adjusted/5_campaign_t100.csv,0.5877950778169082,9879
5_campaign,mad,t100,csv/mad/5_campaign_t100.csv,0.47975833321689565,9803
5_campaign,zscore_more_trees,t100,csv/zscore_more_trees/5_campaign_t100.csv,0.7403455158107839,9948
6_cardio,adjusted,t100,csv/adjusted/6_cardio_t100.csv,0.8037582903463523,452
6_cardio,mad,t100,csv/mad/6_cardio_t100.csv,0.7123925325472857,424
6_cardio,zscore_more_trees,t100,csv/zscore_more_trees/6_cardio_t100.csv,0.7930483910587081,464
7_Cardiotocography,adjusted,t100,csv/adjusted/7_Cardiotocography_t100.csv,0.6323581284365598,591
7_Cardiotocography,mad,t100,csv/mad/7_Cardiotocography_t100.csv,0.6946415603278349,153
7_Cardiotocography,zscore_more_trees,t100,csv/zscore_more_trees/7_Cardiotocography_t100.csv,0.5315592903828198,605
8_celeba,adjusted,t100,csv/adjusted/8_celeba_t100.csv,0.7061597927268737,31739
8_celeba,mad,t100,csv/mad/8_celeba_t100.csv,0.6983196276510453,31759
8_celeba,zscore_more_trees,t100,csv/zscore_more_trees/8_celeba_t100.csv,0.720467060789427,31756
